2	1	5	4	5	5	3	3	0	1	1	7	2.564102564102564E97	
1	1	5	5	5	5	3	5	2	1	1	7	1	
2	1	3	5	1	5	2	3	1	2	3	7	1	
2	5	1	2	6	5	1	4	2	3	1	7	1	
2	5	1	2	6	3	1	4	2	3	1	7	1	
1	1	6	4	8	5	3	2	0	1	1	7	1	
1	5	2	3	9	4	1	3	1	2	3	7	1	
1	3	3	4	3	5	1	1	0	2	3	7	1	
1	1	6	3	8	5	3	3	0	2	3	7	1	
1	1	7	4	8	4	3	2	0	2	3	7	1	
1	5	2	4	9	5	1	1	0	2	3	7	1	
2	2	2	3	2	5	1	2	0	1	1	5	1	
2	1	3	6	6	2	2	4	2	1	1	7	1	
2	1	5	3	5	5	3	4	0	2	1	7	1	
1	4	6	3	5.9743589743589745	5	1	1	0	1	1	7	2.564102564102564E97	
2	1	5	4	1	5	2	2	2	1	1	7	1	
2	3	3	3	2	2	1	2	1	2	3	7	1	
2	1	5	5	1	5	2	2	0	1	1	7	2.564102564102564E97	
2	1	5	3	5	1	3	2	0	2	3	7	1	
1	5	1	2	9	5.128205128205128E97	1	4	2	3	1	7	1	
1	3	4	2	3	4	1	2	0	2	3	7	1	
2	1	4	4	2	5	3	5	3	1	1	5	2	
1	1	4	4	1	5	3	5	3	1	1	7	1	
2	3	5	4	2	3	1	3	0	2	5	7	1	
2	5	1	2	6	5	1	4	1	3	1	7	1	
1	1	3	5	1	5	2	3	1	2	3	7	1	
1	1	4	4	1	5	2	3	0	1	1	7	1	
1	1	4	4	1	5	2	3	1	1	1	7	1	
1	1	4	6	1	2.564102564102564E97	2	3	1	1	1	7	1	
2	3	7	3	8	5	1	1	0	1	5	7	1	
2	3	4	5	1	4	1	5	3	1	1	7	1	
2	1	4	4	1	4	2	4	2	2	1	7	1	
2	5	1	2	6	5	1	4	2	3	1	7	1	
2	5	1	2	6	5	1	3	1	3	1	7	1	
1	5	1	2	6	5	1	6	4	3	1	7	1	
2	1	4	4	5	1.2820512820512821E98	3	6	4	1	1	7	1	
2	1	7	3	5	5	3	2	0	1	1	7	1	
2	1	4	3	5	1	3	3	1	1	1	7	1	
1	1	5	6	1	5	2	4	0	1	1	7	1	
2	3	4	5	1	3	1	2	1	2	3	2	3	
2	4	6	6	1	1	1	1	0	2	3	7	1	
1	5	1	2	6	5	1	5	2	3	1	7	1	
2	1	4	4	1	5	2	5	3	1	1	7	1	
2	1	5	4	5	5	3	3	0	1	1	7	1	
2	5	2	2	6	2	1	3	0	3	1	3	1	
2	1	6	4	2	5	2	4	2	2	1	7	1	
2	1	5	4	5	5	3	3	0	1	1	7	1	
2	1	6	3	5	1.5384615384615386E98	3	2	0	1	1	7	1	
2	1	4	3	5	3	3	6	4	1	1	7	5.128205128205128E97	
2	1	3	3	5	5	3	5	3	1	1	5	1	
2	5	1	2	2	5	1	3	1	3	2	7	1	
1	3	5	4	1	5	1	1	0	2	2	7	1	
1	5	1	2	6	2.564102564102564E97	1	5	3	3	1	7	1	
2	1	5	6	5	5	3	2	0	1	1	7	7.758053911900064E97	
1	1	1	5	8	5	2	3	0	2	1	3	2	
1	5	1	1	3	5	1	5.128205128205128E97	0	3	1	7	1	
1	5	1	1	6	5	1	4	2	3	1	7	1	
2	1	4	4	1	5	2	2	0	1	1	7	1	
2	1	6	6	5	5	3	2	0	1	1	7	1	
2	3	5	4	1	2	1	1	0	1	1	7	1	
1	1	3	4	3	5	2	3	1	1	1	7	1	
1	3	4	3	3	5	1	1	0	1	1	8	1	
2	1	3	5	1	4	2	3	1	1	2	7	1	
1	1	7	4	8	5	2	4	2	1	1	7	1	
2	1	5	4	5	1.5384615384615386E98	1	4	1	2	3	2	1.0256410256410256E98	
1	5	1	2	6	5	1	5	3	3	1	5	1	
1	5	1	2	6	5	1	5	3	3	1	7	1	
2	1	4	4	5	4	3	4	2	1	1	2	3	
1	5	1	1	6	5	1	3	0	3	1	7	1	
2	1	6	5	1	5.128205128205128E97	2	2	0	1	1	7	1	
2	3	4	2	1	5	1	2	0	3	1	7	1	
2	1	4	4	5	5	3	4	2	1	1	7	1	
2	1	3	4	5	2	3	4	2	1	2	7	1	
1	5	1	2	4	5	1	5	3	3	1	7	1	
2	1	5	3	5	1.0650887573964496E98	3	3	1	1	1	7	1	
2	1	6	3	8	1.5384615384615386E98	3	7.692307692307692E97	0	2	3	7	3	
2	5	3	5	1	5	1	4	0	2	1	3	3	
2	1	7	3	5	1.8616294947655894E98	3	2	2	1	1	7	1	
2	2	2	5	1	4	1	2	0	2	3	7	1	
1	1	3	5	6	2	3	3	0	2	1	7	1	
2	1.0	4	5	5	8.021038790269559E97	3	5	3	1	1	7	1	
1	1	6	5	1	5	2	2	0	1	1	7	1	
2	1	2	2	5	3	3	4	2	2	3	7	1	
2	2	4	4	3	7.692307692307692E97	1	2	0	2	1	7	1	
2	1	4	6	5	2	3	4	1	1	1	7	1	
1	1	3	4	1	3	2	2	0	2	3	2	1	
1	5	2	4	6	4	1	2	0	2	3	7	1	
2	1	2	4	2	5	2	2	0	2	3	7	1	
1	3	6	3	8	1.5384615384615386E98	1	1	0	1	2	7	1	
2	5	2	4	6	3	1	4	0	3	1	7	1	
2	1	6	4	4	5	2	2	0	1	1	7	1	
1	5	2	4	6	5	1	3	0	3	1	7	1	
1	5	2	4	6	5	1	4	0	1	1	5	1	
2	1	6	4	5	2	1	2	0	1	5	7	3	
2	1	6	3	2	5	2	2	0	1	1	7	1	
1	1	7	3	8	5	3	2	0	1	4	7	1	
2	1	6	4	8	5	3	2	0	1	2	7	1	
2	1	7	4	8	1.2820512820512821E98	3	2	0	1	1	7	1	
2	3	7	3	8	5	1	2	0	1	1	7	1	
2	1	5	6	1	5	2	4	2	1	1	7	1	
2	3.717948717948718	4	4	1	5	1	1.3846153846153846	0	2	7.692307692307692E97	7	7.692307692307692E97	
2	1	5	6	1	2	2	3	0	1	1	4	3	
2	1	4	3	5	5	3	2	0	1	1	8	2	
2	5	1	3	9	4	1	3	1	3	1	7	1	
1	5	2	3	6	5	1	2	0	3	1	7	1	
1	5	1	2	2	5	1	3	1	3	1	7	1	
1	5	1	2	6	5	1	5	3	3	1	7	1	
2	5	1	1	1	2	1	7	5	2	2	8	2.564102564102564E97	
2	5	2	3	1	5	1	2	0	3	3	7	1	
2	1	6	4	1	5	2	6	0	1	1	1	1	
2	1	5	4	5	5	3	4	0	1	1	7	1	
1	1	3	6	2	2	2	2	0	2	3	6.564102564102564	1	
1	5	2	2	6	5	1	5	1	3	1	7	1	
2	2	3	3	4	2	1	3	1	2	3	1	1	
2	3.7435897435897436	7	3	8	5	1	1	0	2	3	7	1	
2	1	7	4	8	5	3	2	0	1	1	7	1	
2	3	3	4	4	7.692307692307692E97	1	3	1	2	2	7	1	
2	1	2	5	2	2	2	2	0	2	1	7	1	
1	5	5	6	1	1	1	1	0	2	2	7	1	
2	4	7	3	8	2	1	2	0	1.0256410256410256E98	2	7	1	
2	3	7	5	8	1.5384615384615386E98	1	1.5384615384615386E98	0	2	2	7	1.0256410256410256E98	
2	3	4	4	4	5	1	5.128205128205128E97	0	1	1	7	1	
2	5	1	1	6	5	1	1.2820512820512821E98	0	3	1	7	1.1794871794871795	
2	1	3	5	5	3	3	3	1	1	1	7	1	
2	2	5	4	1	5	1	2	0	1	1	7	6.574621959237343E95	
2	2	5	4	1	5	1	2	0	1	1	7	1	
2	5	1	2	6	7.692307692307692E97	1	5	1	3	1	7	1	
2	1	4	5	4	3	2	4	2	1	1	7	1	
2	1.0256410256410255	4	3	4.0256410256410255	1.0256410256410256E98	3	4	2	1	1	7	2.564102564102564E97	
2	3	3	4	5	5	1	4	3	2	2	7	1	
1	1	6	4	8	5	3	1.0256410256410256E98	0	1.0256410256410256E98	5.641025641025639E98	1.5384615384615386E98	1.794871794871795E98	
2	1	5	6	4	5	3	3	0	1	1	7	1	
2	1	5	5	1	5	2	2	0	1	1	7	1	
1	5	1	1	9	5	1	5	3	3	1	5	1	
2	1	5	4	1	4	2	5	1	1	1	7	1	
2	1	6	4	1	5	3	2	0	1	1	7	1	
2	5	1	2	6	5.128205128205128E97	1	8	6	3	1.0256410256410256E98	7	1	
2	1	5	6	5	2	3	3	0	1	1	7	1	
2	5	1	2	6	3	1	5	3	3	3	2	3	
1	1	4	4	1	4	2	6	2	2	1	7	1	
1	1	4	6	1	3	2	5	3	1	1	7	1	
1	1	7	3	1	5	3	2	0	1	1	7	1	
1	1	7	6	1	5	3	3	0	1	1	7	1	
1	5	2	4	1	5.128205128205128E97	1	7	0	2	2	7	1	
2	3	5	4	1	4	1	2	0	1	1	7	1	
2	5	3	6	6	5	1	7	1	3	1	7	1	
1	1	7	3	8	5	3	3	0	1	1	7	1	
1	5	2	4	9	2	1	2.820512820512821E98	0	2	3	3	1	
1	1	7	3	8	5	3	2	0	1	1	7	1	
2	1	4	6	1	3	2	4	2	1	1	7	1	
